Rank,Team,W-L,Pyth,AdjO,AdjD,AdjT,Luck,OppPyth,OppO,OppD,NCOppPyth,kag_id,kag_yr
64,Colorado,23-11,.7502,105.9,96.2,66.4,+.110,.6872,108.2,101.0,.5274,556,S
65,West Virginia,17-15,.7476,114.3,104.0,68.1,-.060,.6739,108.7,102.1,.4194,843,S
66,North Carolina St.,21-13,.7462,113.6,103.4,66.1,+.081,.6721,107.6,101.1,.4149,695,S
67,Manhattan,25-7,.7434,106.0,96.7,69.5,-.003,.4884,105.0,105.4,.5927,658,S
68,Tulsa,21-12,.7430,105.3,96.0,68.5,-.025,.5214,104.4,103.6,.5995,802,S
69,LSU,19-13,.7404,109.1,99.6,70.2,-.013,.6337,106.3,101.3,.4482,655,S
70,Vermont,22-10,.7350,109.0,99.8,64.0,-.054,.4057,101.6,105.1,.6989,828,S
71,Miami FL,17-16,.7325,109.0,99.8,58.6,-.045,.6415,106.5,101.3,.4244,668,S
72,New Mexico St.,26-9,.7325,112.1,102.7,66.5,-.017,.4294,103.3,105.8,.5762,702,S
73,California,19-13,.7319,109.3,100.2,66.3,+.022,.6641,108.1,101.8,.4795,539,S
74,Indiana,17-15,.7290,106.3,97.6,68.8,-.069,.6359,107.3,102.2,.3278,625,S
75,Iona,22-10,.7249,117.5,108.0,69.8,-.007,.5291,105.3,104.2,.7099,627,S
76,Georgia,19-13,.7248,107.9,99.2,64.2,+.037,.6126,106.5,102.3,.4209,604,S
77,Missouri,22-11,.7241,113.4,104.2,66.1,+.067,.6392,106.4,101.2,.4583,676,S
78,North Carolina Central,28-5,.7189,107.5,99.0,64.3,+.037,.2745,98.3,107.0,.4914,694,S
79,Saint Mary's,22-11,.7186,110.9,102.2,63.1,+.019,.5814,107.1,104.1,.4838,781,S
80,Boise St.,21-13,.7177,113.4,104.5,65.3,-.056,.5806,106.2,103.3,.5266,526,S
81,San Francisco,21-11,.7089,111.8,103.5,65.4,+.061,.5995,107.3,103.6,.5264,755,S
82,Penn St.,15-17,.7079,109.2,101.1,66.3,-.049,.6826,107.2,100.3,.4539,729,S
83,Middle Tennessee,24-9,.7053,103.9,96.3,64.2,+.047,.4722,103.2,104.2,.4808,672,S
84,Texas Tech,14-18,.6980,109.7,102.0,61.9,-.054,.6972,109.3,101.7,.4650,796,S
85,Cleveland St.,21-11,.6975,110.4,102.7,63.7,-.037,.5227,104.9,104.1,.5570,552,S
86,UC Irvine,23-11,.6968,102.8,95.6,63.9,-.018,.4641,105.5,106.8,.5498,807,S
87,Seton Hall,17-17,.6951,107.8,100.4,65.9,-.060,.6284,107.9,103.1,.2982,764,S
88,St. Bonaventure,18-15,.6935,111.2,103.6,67.4,-.065,.5922,106.0,102.6,.4237,775,S
